Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Apr 8,,BOS,W6-5,46,39,6,9,1,0,3,6,4,2,15,2,0,1,0,0,0,0,.231,.326,.487,.813,12,12,R,N.Eovaldi(51)
2,2,Apr 9,,BOS,W4-2,30,27,4,4,0,0,2,4,3,0,5,0,0,0,0,0,0,0,.197,.289,.439,.729,2,10,R,N.Pivetta(46)
3,3,Apr 10,,BOS,L3-4,41,36,3,11,2,0,0,3,4,0,9,1,0,0,0,2,1,0,.235,.325,.412,.737,11,11,R,T.Houck(36)
4,4,Apr 11,,TOR,L0-3,35,29,0,4,0,0,0,0,5,0,9,1,0,0,0,2,0,0,.214,.316,.351,.667,8,10,R,A.Manoah(73)
5,5,Apr 12,,TOR,W4-0,33,28,4,7,4,0,1,3,3,0,5,1,0,1,0,1,0,0,.220,.319,.377,.696,5,10,L,Y.Kikuchi(40)
6,6,Apr 13,,TOR,L4-6,39,36,4,10,2,0,3,4,3,0,9,0,0,0,0,1,0,0,.231,.321,.415,.737,8,11,R,J.Berrios(45)
7,7,Apr 14,,TOR,W3-0,32,31,3,8,2,0,0,3,1,0,10,0,0,0,0,1,1,0,.235,.316,.403,.719,5,10,R,K.Gausman(58)
8,8,Apr 15,@,BAL,L1-2,40,37,1,7,1,0,0,1,2,0,13,1,0,0,0,2,0,0,.228,.307,.376,.684,8,12,R,J.Lyles(54)
9,9,Apr 16,@,BAL,W5-2,43,35,5,11,3,0,1,4,5,0,7,1,1,0,0,0,0,1,.238,.320,.389,.710,11,9,R,T.Wells(57)
10,10,Apr 17,@,BAL,L0-5,34,30,0,4,0,0,0,0,3,0,10,0,1,0,1,1,0,0,.229,.311,.366,.677,7,11,L,B.Zimmermann(63)
11,11,Apr 19,@,DET,W4-2,42,33,4,6,0,0,0,2,8,0,13,0,0,1,1,0,4,0,.224,.313,.349,.662,11,9,L,T.Alexander(47)
12,12,Apr 20,@,DET,W5-3,36,33,5,6,3,0,1,5,2,0,7,0,1,0,0,0,1,1,.221,.306,.350,.657,4,11,L,E.Rodriguez(56)
13,13,Apr 21,@,DET,L0-3,34,33,0,7,1,0,0,0,1,0,4,0,0,0,0,1,0,0,.220,.301,.342,.643,7,13,R,M.Pineda(63)
14,14,Apr 22,,CLE,W4-1,35,31,4,7,0,0,2,4,4,0,9,0,0,0,0,0,0,0,.221,.302,.347,.649,7,10,R,E.Morgan(52)
15,15,Apr 23,,CLE,W5-4,36,31,5,9,1,0,1,5,4,0,6,0,0,1,0,1,1,1,.225,.306,.352,.658,5,11,R,C.Quantrill(48)
16,16,Apr 24,,CLE,W10-2,40,35,10,13,5,0,3,10,3,0,9,1,0,1,0,1,1,0,.235,.314,.380,.694,6,11,R,A.Civale(23)
17,17,Apr 26,,BAL,W12-8,40,38,12,13,1,1,5,12,2,0,9,0,0,0,1,0,0,0,.242,.318,.409,.727,4,10,R,J.Lyles(28)
18,18,Apr 27,,BAL,W5-2,34,31,5,8,0,0,2,4,2,0,9,0,0,1,0,0,1,0,.243,.317,.411,.728,5,10,R,T.Wells(57)
19,19,Apr 28,,BAL,W10-5,40,34,10,12,3,0,1,9,4,0,9,1,0,1,2,2,1,1,.249,.323,.418,.741,6,9,L,B.Zimmermann(39)
20,20,Apr 29,@,KCR,W12-2,39,36,12,10,2,0,4,11,2,0,7,1,0,0,1,0,0,0,.250,.323,.431,.755,3,12,L,K.Bubic(50)
21,21,Apr 30,@,KCR,W3-0,40,30,3,8,1,0,0,2,8,1,5,0,0,2,0,1,0,2,.251,.327,.426,.753,10,10,R,C.Hernandez(42)
22,22,May 1,@,KCR,W6-4,40,34,6,8,1,0,2,6,5,1,7,1,0,0,0,1,0,0,.250,.328,.426,.755,7,12,L,D.Lynch(50)
23,23,May 2,@,TOR,W3-2,35,35,3,8,1,0,1,3,0,0,6,0,0,0,0,0,3,0,.249,.324,.423,.747,5,10,R,R.Stripling(45)
24,24,May 3,@,TOR,W9-1,41,38,9,10,4,0,2,9,3,0,12,0,0,0,1,0,0,1,.250,.324,.428,.752,5,10,R,A.Manoah(68)
25,25,May 4,@,TOR,L1-2,35,31,1,5,1,0,1,1,4,0,10,0,0,0,0,1,0,0,.247,.322,.422,.744,7,13,L,Y.Kikuchi(68)
26,26,May 8 (1),,TEX,W2-1,34,29,2,5,0,0,1,2,3,0,6,0,1,1,3,1,0,0,.244,.319,.417,.736,8,9,R,D.Dunning(66)
27,27,May 8 (2),,TEX,L2-4,36,29,2,3,0,0,1,2,6,0,6,1,0,0,0,1,3,0,.240,.317,.411,.728,7,12,R,G.Otto(54)
28,28,May 9,,TEX,W1-0,31,27,1,5,1,0,0,1,4,0,9,0,0,0,0,1,0,0,.238,.317,.405,.722,6,10,R,J.Gray(60)
29,29,May 10,,TOR,W6-5,38,30,6,5,1,0,2,6,7,0,10,1,0,0,0,0,0,0,.236,.318,.405,.722,7,11,L,Y.Kikuchi(60)
30,30,May 11,,TOR,W5-3,33,32,5,8,1,0,1,5,1,0,6,0,0,0,0,0,0,0,.236,.316,.404,.720,4,9,R,J.Berrios(41)
31,31,May 12,@,CHW,W15-7,48,40,15,15,2,1,4,15,7,0,14,0,0,1,0,1,0,0,.242,.322,.418,.741,6,12,R,D.Cease(35)
32,32,May 13,@,CHW,W10-4,44,39,10,14,2,0,4,10,4,0,7,0,0,1,0,0,1,0,.246,.325,.430,.755,7,10,R,V.Velasquez(24)
33,33,May 14,@,CHW,L2-3,37,32,2,9,1,0,0,2,4,0,8,0,0,1,0,2,3,0,.247,.326,.426,.752,8,10,L,D.Keuchel(59)
34,34,May 15,@,CHW,W5-1,34,29,5,2,0,0,1,4,5,0,6,0,0,0,0,0,0,0,.242,.323,.419,.742,2,9,R,M.Kopech(57)
35,35,May 16,@,BAL,W6-2,42,37,6,11,1,0,3,6,5,0,10,0,0,0,0,0,0,0,.244,.325,.424,.749,9,9,R,K.Bradish(34)
36,36,May 17,@,BAL,W5-4,43,37,5,11,4,0,2,4,4,0,3,2,0,0,1,1,0,0,.246,.327,.429,.756,11,10,R,S.Watkins(44)
37,37,May 18,@,BAL,W3-2,34,33,3,6,2,0,0,1,1,0,10,0,0,0,0,0,0,0,.244,.324,.424,.748,4,9,R,J.Lyles(65)
38,38,May 19,@,BAL,L6-9,40,34,6,10,1,0,1,6,6,0,8,0,0,0,0,3,1,0,.245,.326,.423,.749,7,12,L,B.Zimmermann(34)
39,39,May 21,,CHW,W7-5,37,30,7,8,0,0,1,7,6,1,3,0,0,1,0,1,0,0,.246,.327,.422,.749,6,9,L,D.Keuchel(23)
40,40,May 22 (1),,CHW,L1-3,36,33,1,8,1,0,1,1,3,1,9,0,0,0,0,0,0,0,.246,.327,.421,.747,8,10,R,J.Cueto(63)
41,41,May 22 (2),,CHW,L0-5,32,30,0,3,2,0,0,0,2,0,7,0,0,0,0,0,0,0,.243,.323,.415,.738,5,9,R,M.Kopech(79)
42,42,May 23,,BAL,L4-6,36,31,4,5,0,0,2,4,4,0,9,1,0,0,0,2,0,0,.241,.322,.414,.736,5,10,R,J.Lyles(56)
43,43,May 24,,BAL,W7-6,45,40,7,11,0,0,4,7,4,1,12,1,0,0,0,2,0,0,.242,.323,.418,.741,9,10,L,B.Zimmermann(50)
44,44,May 25,,BAL,W2-0,30,30,2,6,1,0,0,1,0,0,5,0,0,0,0,0,1,0,.241,.321,.414,.735,4,9,R,T.Wells(51)
45,45,May 26,@,TBR,W7-2,39,32,7,6,1,0,0,4,5,0,6,1,0,1,0,0,1,0,.240,.321,.410,.731,5,9,L,R.Yarbrough(58)
46,46,May 27,@,TBR,W2-0,34,33,2,6,1,0,2,2,1,0,10,0,0,0,0,0,0,0,.238,.318,.410,.728,5,9,L,J.Springs(60)
47,47,May 28,@,TBR,L1-3,29,28,1,4,1,0,0,1,0,0,9,0,0,1,0,1,0,0,.237,.315,.406,.721,1,11,R,C.Kluber(67)
